Name,Battery kWh,Acceleration sec,TopSpeed km/h,Range km,Efficiency Wh/km,NumberofSeats,PriceinEurope,Score
Nissan Leaf ,36.0,7.9,144.0,220.0,164.0,5,29990,0.41045946197142114
Porsche Taycan Turbo S,83.7,2.8,260.0,390.0,215.0,4,186336,0.4022497551381511
Nissan e-NV200 Evalia ,36.0,14.0,123.0,165.0,218.0,7,43433,0.31406353782386603
Volkswagen ID.3 Pure Performance,45.0,8.9,160.0,275.0,164.0,5,31960,0.42676988298026186
BMW iX3 ,74.0,6.8,180.0,385.0,192.0,5,66300,0.4528614820670077
Nissan Leaf e+,56.0,7.3,157.0,325.0,172.0,5,38350,0.4484512553170848
BMW i3 120 Ah,37.9,7.3,150.0,235.0,161.0,4,39000,0.41020589793496604
Mercedes EQA 250,66.5,8.9,160.0,355.0,187.0,5,47541,0.43627286780344793
DS 3 Crossback E-Tense,45.0,8.7,150.0,250.0,180.0,5,30040,0.4092677655773663
BMW i3s 120 Ah,37.9,6.9,160.0,230.0,165.0,4,42600,0.4088548023925937
Audi e-tron GT RS,85.0,3.3,250.0,405.0,210.0,4,138200,0.43822225623308536
Renault Zoe ZE50 R110,52.0,11.4,135.0,315.0,165.0,5,31990,0.41764178349322456
Hyundai IONIQ Electric,38.3,9.7,165.0,250.0,153.0,5,35350,0.4162708757076181
Tesla Roadster ,200.0,2.1,410.0,970.0,206.0,4,215000,0.6669522114895781
Peugeot e-208 ,45.0,8.1,150.0,275.0,164.0,5,30450,0.4310986326763967
Honda e ,28.5,9.0,145.0,170.0,168.0,4,33850,0.3716517681275194
CUPRA Born 110 kW - 55 kWh,45.0,8.9,160.0,275.0,164.0,5,32700,0.42625360391049444
Audi Q4 e-tron 35,51.5,9.0,160.0,280.0,184.0,5,41900,0.4110494978940205
Tesla Model Y Long Range Dual Motor,76.0,5.1,217.0,450.0,169.0,7,59965,0.5273568952624955
Tesla Model Y Performance,76.0,3.7,241.0,430.0,177.0,7,66965,0.5274782435156546
